;0;1
94;http://www.journaldelenvironnement.net/article/recyclage-des-plastiques-contenant-l-additif-dehp-desaccord-du-parlement-europeen,64470;2015/11/27
95;http://www.journaldelenvironnement.net/article/phtalates-les-eurodeputes-contre-le-recyclage-des-plastiques-au-dehp,64377;2015/11/25
96;http://www.journaldelenvironnement.net/article/la-restauration-rapide-sommee-de-trier-ses-dechets,94294;2018/10/18
97;http://www.journaldelenvironnement.net/article/interdiction-des-sacs-plastique-en-france-la-publication-du-decret-en-mars-prochain-ne-rend-pas-inapplicable-l-interdiction-existante-depuis-le-1er-janvier-2016,66672;2016/02/02
98;http://www.journaldelenvironnement.net/article/bientot-un-outil-pour-integrer-le-plastique-recycle-des-la-conception,65349;2015/12/18
99;http://www.journaldelenvironnement.net/article/l-ecosse-s-est-debarrassee-de-ses-sacs-en-plastique,63255;2015/10/23
100;http://www.journaldelenvironnement.net/article/nanoplastiques-a-la-mer,88906;2017/12/15
101;http://www.journaldelenvironnement.net/article/la-californie-va-interdire-les-microbilles-en-plastique,62862;2015/12/10
102;http://www.journaldelenvironnement.net/article/sacs-en-plastique-les-anglais-passent-a-la-caisse,62439;2015/09/30
103;http://www.journaldelenvironnement.net/article/en-2050-tous-les-oiseaux-marins-mangeront-du-plastique,61614;2015/01/09
104;http://www.journaldelenvironnement.net/article/oceans-recherchent-investisseurs,93463;2018/05/09
105;http://www.journaldelenvironnement.net/article/la-norvege-refuse-d-abandonner-les-sacs-en-plastique,62703;2015/07/10
106;http://www.journaldelenvironnement.net/article/plastique-des-experts-demandent-l-interdiction-des-microbilles,62172;2015/09/21
107;http://www.journaldelenvironnement.net/article/des-microplastiques-aux-confins-de-l-antarctique,92062;2018/07/06
108;http://www.journaldelenvironnement.net/article/sacs-plastiques-adoption-d-une-resolution-visant-la-reduction-du-gaspillage,58231;2015/04/30
109;http://www.journaldelenvironnement.net/article/dechets-plastiques-marins-le-phenomene-s-emballe,55501;2015/02/13
110;http://www.journaldelenvironnement.net/article/adidas-va-recycler-des-debris-plastiques-des-oceans,57868;2015/04/21
111;http://www.journaldelenvironnement.net/article/thon-et-espadon-a-la-sauce-plastique,60813;2015/07/27
112;http://www.journaldelenvironnement.net/article/les-cotes-grecques-pantheon-des-dechets-plastiques,55252;2015/06/02
113;http://www.journaldelenvironnement.net/article/l-industrie-du-plastique-s-insurge-contre-la-fin-de-la-vaisselle-jetable,58096;2015/04/27
114;http://www.journaldelenvironnement.net/article/dechets-plastique-une-synthese-des-impacts-est-necessaire,57958;2015/04/23
115;http://www.journaldelenvironnement.net/article/eco-emballages-veut-doubler-le-recyclage-des-plastiques-en-2030,52642;2014/11/24
116;http://www.journaldelenvironnement.net/article/adoption-de-la-directive-visant-a-reduire-la-consommation-de-sacs-en-plastique-legers,58411;2015/07/05
117;http://www.journaldelenvironnement.net/article/dechets-la-chine-redessine-le-paysage-francais,89884;2018/01/22
118;http://www.journaldelenvironnement.net/article/nouvelles-conditions-et-procedures-d-importation-d-ustensiles-de-cuisine-en-matiere-plastique-polyamide-et-melamine-originaires-ou-en-provenance-de-chine-et-de-hong-kong,57061;2015/03/26
119;http://www.journaldelenvironnement.net/article/reduction-de-l-utilisation-des-sacs-en-plastique-position-du-conseil-de-l-ue-en-1ere-lecture,56626;2015/03/16
120;http://www.journaldelenvironnement.net/article/du-plastique-dans-l-estomac-des-coraux,55837;2015/02/24
121;http://www.journaldelenvironnement.net/article/les-micro-plastiques-affectent-aussi-les-organismes-d-eau-douce,51400;2014/10/21
122;http://www.journaldelenvironnement.net/article/dechets-de-cigarettes-vers-la-creation-d-une-filiere-rep-en-2019,94123;2018/11/10
